Estancia,Categoria,Tipo_mueble,Mas_vendido,Enlace_producto,Nombre,Descripcion,Precio,Opiniones_5,Opiniones_4,Opiniones_3,Opiniones_2,Opiniones_1,Valoracion_Diseno,Valoracion_Montaje,Valoracion_Calidad,Valoracion_Relacion,Valoracion_Funcionamiento,Imagen_principal,ID,Resenas,Valoracion,Ancho,Largo,Altura,relacionados_lista,Variantes_ID,Variantes_colores,grupo_agrupacion,Score
Salón,Muebles de almacenaje para salón,Muebles de salón,0,besta-mueble-tv-puertas-vidrio-chapa-roble-tinte-blanco-lappviken-sindvik-vidrio-incoloro,BESTÅ,Mueble TV puertas vidrio,1000.0,0,0,0,0,0,4.605936454849498,4.507416502946955,4.362735257214554,4.359205020920502,4.5,https://www.ikea.com/es/es/images/products/besta-mueble-tv-puertas-vidrio-chapa-roble-tinte-blanco-lappviken-sindvik-vidrio-incoloro__1068931_pe853670_s5.jpg?f=s,39476822,0,4.489009159034138,360.0,42.0,240.0,"[89480930, 39330801, 99398685, 59488800, 79411013, 19435998, 99406831, 59411014, 39436001, 19406731, 99398690, 69411240]",Sin_variacion,[],CATEGORIA_Muebles de almacenaje para salón,0.4532258022593213
Salón,Muebles de almacenaje para salón,Muebles de salón,0,besta-eket-combinacion-mueble-tv-almacenaje-blanco-efecto-roble-tinte-blanco,BESTÅ / EKET,Combinación mueble TV y almacenaje,370.0,1,0,1,0,0,5.0,3.0,4.0,4.0,4.0,https://www.ikea.com/es/es/images/products/besta-eket-combinacion-mueble-tv-almacenaje-blanco-efecto-roble-tinte-blanco__0709340_pe726943_s5.jpg?f=s,79437763,2,4.0,300.0,42.0,210.0,"[19602930, 19476818, 29411322, 29476766, 49204411, 99398690, 69476825, 69476769, 59440728, 39602929, 19440725, 29580980]",Sin_variacion,[],CATEGORIA_Muebles de almacenaje para salón,0.5045178376794551
Salón,Muebles de almacenaje para salón,Muebles de salón,0,besta-eket-combinacion-mueble-tv-blanco-lappviken-blanco,BESTÅ / EKET,Combinación de mueble para TV,410.0,0,0,0,0,0,4.605936454849498,4.507416502946955,4.362735257214554,4.359205020920502,4.5,https://www.ikea.com/es/es/images/products/besta-eket-combinacion-mueble-tv-blanco-lappviken-blanco__1068919_pe853663_s5.jpg?f=s,89476768,0,4.489009159034138,180.0,42.0,166.0,"[69476769, 9476767, 19406726, 19406731, 99406831, 29476766, 59488800, 69412169, 29411322, 79437763, 99398690, 59406833]",['29476766'],['Blanco'],CATEGORIA_Muebles de almacenaje para salón,0.4873141954471496
Salón,Muebles de almacenaje para salón,Muebles de salón,0,brimnes-mueble-tv-con-estanteria-blanco,BRIMNES,Mueble TV con estantería,269.97,53,11,2,2,1,4.8,4.5,4.4,4.6,4.8,https://www.ikea.com/es/es/images/products/brimnes-mueble-tv-con-estanteria-blanco__0643933_pe702274_s5.jpg?f=s,89184331,69,4.6,258.0,41.0,190.0,"[59398673, 79398672, 19521175, 59278232, 59184337, 59602075, 39602439, 69398620, 29278219, 39477242, 79602437, 9552172]",Sin_variacion,[],Mueble TV con estantería,0.7343555728124622
Salón,Muebles de almacenaje para salón,Muebles de salón,0,brimnes-mueble-tv-con-estanteria-blanco,BRIMNES,Mueble TV con estantería,228.99,7,0,1,0,1,4.9,4.3,3.9,4.4,4.5,https://www.ikea.com/es/es/images/products/brimnes-mueble-tv-con-estanteria-blanco__1070482_pe854621_s5.jpg?f=s,39477242,9,4.3,240.0,41.0,190.0,"[59278232, 29278219, 59602075, 59278213, 59398673, 19521175, 79398672, 39602439, 59184337, 89184331, 9602073, 39184343]",Sin_variacion,[],Mueble TV con estantería,0.6304541564153837
Salón,Muebles de almacenaje para salón,Muebles de salón,1,fjallbo-mueble-tv-con-estanteria-negro,FJÄLLBO,Mueble TV con estantería,218.99,57,21,7,2,2,4.7,4.1,4.2,4.5,4.6,https://www.ikea.com/es/es/images/products/fjallbo-mueble-tv-con-estanteria-negro__0625394_pe692240_s5.jpg?f=s,79191266,89,4.4,250.0,36.0,95.0,"[40579032, 90339290, 49494825, 19398929, 89572982, 29514730, 69521074, 49494830, 80507024, 507056, 502799, 50466553]",Sin_variacion,[],Mueble TV con estantería,0.896137679438193
Salón,Muebles de almacenaje para salón,Muebles de salón,0,besta-lack-mueble-tv-con-estanteria-blanco,BESTÅ / LACK,Mueble TV con estantería,470.98,0,0,0,0,0,4.605936454849498,4.507416502946955,4.362735257214554,4.359205020920502,4.5,https://www.ikea.com/es/es/images/products/besta-lack-mueble-tv-con-estanteria-blanco__0943569_pe796981_s5.jpg?f=s,99398690,0,4.489009159034138,300.0,42.0,195.0,"[99406831, 29398684, 19476818, 69476769, 99398685, 79437763, 19602930, 29411322, 29476766, 19406731, 59488800, 69476825]",['89398737'],['Negro'],Mueble TV con estantería,0.4754811527094797
Salón,Muebles de almacenaje para salón,Muebles de salón,0,skruvby-mueble-tv-con-estanteria-blanco,SKRUVBY,Mueble TV con estantería,179.98,17,1,0,1,0,4.9,4.6,4.6,4.8,4.6,https://www.ikea.com/es/es/images/products/skruvby-mueble-tv-con-estanteria-blanco__1130674_pe877920_s5.jpg?f=s,69494607,19,4.8,216.0,38.0,140.0,"[59184337, 59494603, 79420300, 49521112, 9503313, 99535296, 39477242, 29560675, 59535298, 59398673, 59440610, 59278213]",['89494606'],['Negro'],Mueble TV con estantería,0.7454417046835612
Salón,Muebles de almacenaje para salón,Muebles de salón,0,vihals-mueble-tv-con-almacenaje-blanco,VIHALS,Mueble TV con almacenaje,268.99,6,3,0,0,0,4.8,4.6,4.3,4.6,4.8,https://www.ikea.com/es/es/images/products/vihals-mueble-tv-con-almacenaje-blanco__1079325_pe857499_s5.jpg?f=s,99440613,9,4.7,251.0,37.0,140.0,"[19521175, 9440679, 49440615, 49521112, 89184331, 79398672, 99535296, 39477242, 29278219, 29398684, 99398685, 9602073]",Sin_variacion,[],Mueble TV con almacenaje,0.6292405909079577
Salón,Muebles de almacenaje para salón,Muebles de salón,0,besta-eket-combinacion-mueble-tv-almacenaje-blanco-pino,BESTÅ / EKET,Combinación mueble TV y almacenaje,339.97,0,0,0,0,0,4.605936454849498,4.507416502946955,4.362735257214554,4.359205020920502,4.5,https://www.ikea.com/es/es/images/products/besta-eket-combinacion-mueble-tv-almacenaje-blanco-pino__1126582_pe875792_s5.jpg?f=s,19488010,0,4.489009159034138,180.0,42.0,170.0,"[79204424, 39490804, 29204431, 79488012, 69612093, 89204414, 89437748, 49440724, 29286752, 69476769, 59440728, 89476768]","['29204431', '39490804', '29286752', '49204411', '79204424', '89204414']","['Blanco', 'Marrón', 'Marrón', 'Blanco', 'Marrón', 'Blanco']",CATEGORIA_Muebles de almacenaje para salón,0.499215595395917
